NOMBRE,TIPO ELECCIÓN,ENTIDAD,CIRCUNSCRIPCIÓN,E-MAIL,PARTIDO,ESCOLARIDAD,ADHERENTE,APROBADAS,DE GRUPO,APROBADAS,I. INICIANTE,A. INICIANTE,DG,A.DG,TOTAL APROBADAS,TOTAL INICIATIVAS
Dip. Melba Nelia Farías Zambrano,Mayoría Relativa,Coahuila ,3 ,melba.farias@diputados.gob.mx ,Morena,Licenciatura,5 ,0,13 ,9,2 ,0,4 ,0,9,24
Dip. Francisco Favela Peñuñuri,Mayoría Relativa,México ,5 ,francisco.favela@diputados.gob.mx ,_PT,Licenciatura,4 ,0,6 ,0,3 ,0,2 ,0,0,15
Dip. Alfredo Femat Bañuelos,Mayoría Relativa,Zacatecas ,3 ,alfredo.femat@diputados.gob.mx ,_PT,Maestría,11 ,1,6 ,0,2 ,0,0,0,1,19
Dip. Nayeli Arlen Fernández Cruz,Representación proporcional,Ciudad de México ,4 ,nayeli.fernandez@diputados.gob.mx ,Morena,Maestría,13 ,1,15 ,10,6 ,0,21 ,4,15,55
Dip. Gerardo Fernández Noroña,Mayoría Relativa,Ciudad de México ,4 ,jgerardo.fernandez@diputados.gob.mx ,_PT,Licenciatura,5 ,2,6 ,0,1 ,0,2 ,1,3,14
Dip. Feliciano Flores Anguiano,Mayoría Relativa,Michoacán ,1 ,feliciano.flores@diputados.gob.mx ,Morena,Pasante,1 ,0,15 ,10,0,0,1 ,0,10,17
Dip. Lucía Flores Olivo,Representación proporcional,Ciudad de México ,4 ,lucia.flores@diputados.gob.mx ,Morena,Carrera Trunca,11 ,2,15 ,10,2 ,0,1 ,1,13,29
Dip. Ricardo Flores Suárez,Mayoría Relativa,Nuevo León ,4 ,ricardo.flores@diputados.gob.mx ,pan,.,89 ,6,28 ,2,7 ,2,2 ,0,10,126
Dip. Margarita Flores Sánchez,Representación proporcional,Nayarit ,1 ,margarita.flores@diputados.gob.mx ,Pri,.,43 ,2,1 ,0,3 ,0,0,0,2,47
Dip. Fernando Galindo Favela,Representación proporcional,Ciudad de México ,4 ,fernando.galindo@diputados.gob.mx ,Pri,Licenciatura,27 ,1,1 ,0,5 ,1,0,0,2,33
Dip. José Ricardo Gallardo Cardona,Mayoría Relativa,San Luis Potosí ,2 ,ricardo.gallardo@diputados.gob.mx ,vrd,,3 ,1,22 ,1,17 ,7,5 ,0,9,47
Dip. Martha Hortencia Garay Cadena,Mayoría Relativa,Coahuila ,4 ,martha.garay@diputados.gob.mx ,Pri,Carrera Comercial,49 ,4,1 ,0,6 ,2,1 ,0,6,57
Dip. Silvano Garay Ulloa,Representación proporcional,Tlaxcala ,4 ,silvano.garay@diputados.gob.mx ,_PT,,1 ,0,6 ,0,2 ,1,1 ,0,1,10
Dip. Carolina García Aguilar,Mayoría Relativa,México ,6 ,cgarcia.aguilar@diputados.gob.mx ,Encuentro,Delegada Nacional,24 ,3,6 ,1,6 ,1,0,0,5,36
Dip. Lidia García Anaya,Mayoría Relativa,Hidalgo ,6 ,lidia.garcia@diputados.gob.mx ,Morena,Maestría,38 ,0,15 ,10,1 ,0,0,0,10,54
Dip. Dorheny García Cayetano,Representación proporcional,Veracruz ,3 ,dorheny.garcia@diputados.gob.mx ,Morena,Licenciatura,10 ,1,15 ,10,1 ,0,4 ,0,11,30
Dip. Teófilo Manuel García Corpus,Representación proporcional,Oaxaca ,3 ,teofilo.garcia@diputados.gob.mx ,Morena,,2 ,0,23 ,1,4 ,1,1 ,0,2,30
Dip. José Luis García Duque,Mayoría Relativa,Nuevo León ,3 ,jgarcia.duque@diputados.gob.mx ,_PT,Licenciatura,48 ,7,7 ,1,2 ,0,1 ,0,8,58
Dip. Ricardo García Escalante,Mayoría Relativa,Veracruz ,1 ,rgarcia.escalante@diputados.gob.mx ,pan,Maestría,100 ,7,28 ,2,2 ,0,3 ,0,9,133
Dip. Margarita García García,Mayoría Relativa,Oaxaca ,3 ,margarita.garcia@diputados.gob.mx ,_PT,Licenciatura,7 ,1,6 ,0,13 ,0,0,0,1,26
Dip. Ana Ruth García Grande,Mayoría Relativa,Baja California Sur ,1 ,ruth.garcia@diputados.gob.mx ,_PT,,13 ,2,6 ,0,1 ,0,1 ,0,2,21
Dip. Ma. de Jesús García Guardado,Representación proporcional,Zacatecas ,2 ,mariadejesus.garcia@diputados.gob.mx ,Morena,Licenciatura,7 ,0,15 ,10,0,0,2 ,0,10,24
Dip. Raymundo García Gutiérrez,Mayoría Relativa,Guerrero ,6 ,raymundo.garcia@diputados.gob.mx ,d01,,6 ,0,42 ,1,8 ,0,1 ,0,1,57
Dip. Martha Elena García Gómez,Representación proporcional,Nayarit ,1 ,melena.garcia@diputados.gob.mx ,pan,Carrera Comercial,65 ,4,25 ,2,11 ,0,2 ,0,6,103
Dip. Jesús Fernando García Hernández,Mayoría Relativa,Sinaloa ,3 ,jesus.garcia@diputados.gob.mx ,Morena,Doctorante,8 ,0,15 ,10,13 ,2,1 ,0,12,37
Dip. Jorge Alcibíades García Lara,Representación proporcional,Baja California ,1 ,jorge.garcia@diputados.gob.mx ,ano,Licenciatura,36 ,8,27 ,1,9 ,0,1 ,0,9,73
Dip. Dulce Alejandra García Morlan,Representación proporcional,Oaxaca ,3 ,dulce.garcia@diputados.gob.mx ,pan,Posgrado,95 ,7,27 ,2,5 ,1,2 ,0,10,129
Dip. Absalón García Ochoa,Mayoría Relativa,Jalisco ,15 ,absalon.garcia@diputados.gob.mx ,pan,Licenciatura,89 ,6,28 ,2,2 ,0,3 ,0,8,122
Dip. Mariana Dunyaska García Rojas,Mayoría Relativa,Veracruz ,12 ,dunyaska.garcia@diputados.gob.mx ,pan,Doctorado,135 ,10,27 ,2,7 ,1,2 ,0,13,171
Dip. Edith García Rosales,Representación proporcional,Veracruz ,3 ,edith.garcia@diputados.gob.mx ,Morena,"Regidor(a), Veracruz - Tlaltetela",6 ,1,15 ,10,1 ,0,0,0,11,22
Dip. Agustín García Rubio,Representación proporcional,Michoacán ,5 ,agustin.garcia@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,0,0,0,0,10,17
Dip. Ulises García Soto,Mayoría Relativa,Chihuahua ,4 ,ulises.garcia@diputados.gob.mx ,Morena,Ninguna,1 ,0,15 ,10,6 ,0,0,0,10,22
Dip. Martha Olivia García Vidaña,Mayoría Relativa,Durango ,1 ,olivia.garcia@diputados.gob.mx ,Morena,Licenciatura,2 ,1,15 ,10,3 ,0,0,0,11,20
Dip. Julieta García Zepeda,Representación proporcional,Michoacán ,5 ,julieta.garcia@diputados.gob.mx ,Morena,Secundaria,23 ,0,15 ,10,0,0,0,0,10,38
Dip. Sylvia Violeta Garfias Cedillo,Representación proporcional,Aguascalientes ,2 ,sylvia.garfias@diputados.gob.mx ,pan,Licenciatura,83 ,6,27 ,2,1 ,0,6 ,0,8,117
Dip. Silvia Guadalupe Garza Galván,Representación proporcional,Coahuila ,2 ,silvia.garza@diputados.gob.mx ,pan,Maestría,85 ,5,27 ,2,7 ,0,2 ,0,7,121
Dip. Laura Erika de Jesús Garza Gutiérrez,Mayoría Relativa,Nuevo León ,7 ,laura.garza@diputados.gob.mx ,Encuentro,Maestría,43 ,9,6 ,1,7 ,0,0,0,10,56
Dip. María Libier González Anaya,Representación proporcional,Jalisco ,1 ,libier.gonzalez@diputados.gob.mx ,ano,Maestría,25 ,4,27 ,1,5 ,1,2 ,0,6,59
Dip. Sandra Paola González Castañeda,Mayoría Relativa,Nuevo León ,12 ,sandra.gonzalez@diputados.gob.mx ,Morena,Doctorado,8 ,0,15 ,10,3 ,0,1 ,0,10,27
Dip. Isaías González Cuevas,Representación proporcional,Baja California Sur ,1 ,isaias.gonzalez@diputados.gob.mx ,Pri,Secundaria,37 ,2,1 ,0,8 ,0,0,0,2,46
Dip. Armando González Escoto,Mayoría Relativa,Ciudad de México ,2 ,agonzalez.escoto@diputados.gob.mx ,Encuentro,Licenciatura,17 ,1,6 ,1,4 ,0,0,0,2,27
Dip. Martha Elisa González Estrada,Mayoría Relativa,Aguascalientes ,3 ,elisa.gonzalez@diputados.gob.mx ,pan,Maestría,87 ,6,28 ,2,9 ,0,2 ,0,8,126
Dip. Ana Priscila González García,Mayoría Relativa,Jalisco ,20 ,priscila.gonzalez@diputados.gob.mx ,ano,Licenciatura,21 ,2,27 ,1,10 ,0,2 ,0,3,60
Dip. Hildelisa González Morales,Mayoría Relativa,Sonora ,7 ,hildelisa.gonzalez@diputados.gob.mx ,_PT,Licenciatura,9 ,1,6 ,0,0,0,0,0,1,15
Dip. Karen Michel González Márquez,Mayoría Relativa,Guanajuato ,7 ,karen.gonzalez@diputados.gob.mx ,pan,.,95 ,5,27 ,2,3 ,0,2 ,0,7,127
Dip. Marco Antonio González Reyes,Representación proporcional,México ,5 ,marcoantoniogonzalez@diputados.gob.mx ,Morena,Licenciatura,11 ,2,15 ,10,1 ,0,1 ,0,12,28
Dip. Erasmo González Robledo,Mayoría Relativa,Tamaulipas ,7 ,erasmo.gonzalez@diputados.gob.mx ,Morena,Licenciatura,2 ,1,15 ,10,1 ,0,0,0,11,18
Dip. Santiago González Soto,Mayoría Relativa,Nuevo León ,5 ,santiago.gonzalez@diputados.gob.mx ,_PT,Maestría,18 ,1,6 ,0,4 ,0,0,0,1,28
Dip. Óscar González Yáñez,Mayoría Relativa,México ,27 ,oscar.gonzalez@diputados.gob.mx ,_PT,,2 ,0,5 ,0,1 ,0,0,0,0,8
Dip. Alfredo Antonio Gordillo Moreno,Mayoría Relativa,Chiapas ,2 , ,Morena,Ninguna,1 ,0,0,0,0,0,2 ,0,0,3
Dip. Raúl Gracia Guzmán,Representación proporcional,Nuevo León ,2 ,raul.gracia@diputados.gob.mx ,pan,Licenciatura,76 ,5,27 ,2,8 ,1,1 ,0,8,112
Dip. Norma Guel Saldívar,Representación proporcional,Aguascalientes ,2 ,norma.guel@diputados.gob.mx ,Pri,Maestría,46 ,5,1 ,0,4 ,0,0,0,5,51
Dip. Juanita Guerra Mena,Mayoría Relativa,Morelos ,3 ,juanita.guerra@diputados.gob.mx ,Morena,Maestría,11 ,2,15 ,10,4 ,0,1 ,0,12,31
Dip. Lizeth Amayrani Guerra Méndez,Representación proporcional,Veracruz ,3 ,lizeth.guerra@diputados.gob.mx ,Morena,Pasante,6 ,1,15 ,10,2 ,0,1 ,0,11,24
Dip. Isabel Margarita Guerra Villarreal,Representación proporcional,Nuevo León ,2 ,isabel.guerra@diputados.gob.mx ,pan,Maestría,126 ,10,28 ,2,7 ,4,2 ,0,16,163
Dip. Yolanda Guerrero Barrera,Mayoría Relativa,Michoacán ,5 ,yolanda.guerrero@diputados.gob.mx ,Morena,Licenciatura,5 ,0,15 ,10,0,0,0,0,10,20
Dip. Ana Lilia Guillén Quiroz,Mayoría Relativa,Michoacán ,8 ,ana.guillen@diputados.gob.mx ,Morena,,4 ,1,15 ,10,0,0,1 ,1,12,20
Dip. Daniel Gutiérrez Gutiérrez,Mayoría Relativa,Oaxaca ,10 ,daniel.gutierrez@diputados.gob.mx ,Morena,,0,0,15 ,10,2 ,0,0,0,10,17
Dip. Sergio Carlos Gutiérrez Luna,Representación proporcional,México ,5 ,sergio.gutierrez@diputados.gob.mx ,Morena,Maestría,0,0,4 ,1,2 ,0,0,0,1,6
Dip. María de los Angeles Gutiérrez Valdez,Mayoría Relativa,Chihuahua ,9 ,angeles.gutierrez@diputados.gob.mx ,pan,Licenciatura,132 ,11,28 ,2,6 ,3,2 ,0,16,168
Dip. Jesús Guzmán Avilés,Mayoría Relativa,Veracruz ,2 ,jguzman.aviles@diputados.gob.mx ,pan,Licenciatura,73 ,6,26 ,2,2 ,0,3 ,0,8,104
Dip. María Del Rosario Guzmán Avilés,Representación proporcional,Veracruz ,3 ,rosario.guzman@diputados.gob.mx ,pan,Licenciatura,78 ,7,26 ,2,1 ,0,2 ,0,9,107
Dip. Francisco Javier Guzmán De La Torre,Representación proporcional,Jalisco ,1 ,javier.guzman@diputados.gob.mx ,Morena,Secundaria,1 ,0,15 ,10,1 ,0,1 ,0,10,18
Dip. Edgar Guzmán Valdéz,Mayoría Relativa,Puebla ,7 ,edgar.guzman@diputados.gob.mx ,Morena,Pasante,21 ,3,15 ,10,3 ,0,0,0,13,39
Dip. Marco Antonio Gómez Alcantar,Representación proporcional,Sinaloa ,1 ,antonio.gomez@diputados.gob.mx ,vrd,Licenciatura,4 ,1,29 ,2,2 ,0,28 ,4,7,63
Dip. Annia Sarahí Gómez Cárdenas,Mayoría Relativa,Nuevo León ,6 ,annia.gomez@diputados.gob.mx ,pan,.,86 ,6,28 ,2,9 ,3,3 ,0,11,126
Dip. Maiella Martha Gabriela Gómez Maldonado,Mayoría Relativa,Puebla ,2 ,maiella.gomez@diputados.gob.mx ,ano,Licenciatura,15 ,3,27 ,1,12 ,0,2 ,0,4,56
Dip. Leticia Mariana Gómez Ordaz,Representación proporcional,México ,5 ,leticia.gomez@diputados.gob.mx ,vrd,Maestría,8 ,2,29 ,2,3 ,0,28 ,4,8,68
Dip. José Del Carmen Gómez Quej,Representación proporcional,Campeche ,3 ,josedelcarmen.gomez@diputados.gob.mx ,pan,Licenciatura,90 ,6,29 ,2,2 ,0,3 ,0,8,124
Dip. Manuel Gómez Ventura,Representación proporcional,Veracruz ,3 ,mgomez.ventura@diputados.gob.mx ,Morena,Licenciatura,11 ,0,15 ,10,1 ,1,0,0,11,27
Dip. Pablo Gómez Álvarez,Mayoría Relativa,Ciudad de México ,23 ,escribe@pablogomez.org ,Morena,,4 ,0,15 ,10,8 ,2,0,0,12,27
Dip. Ismael Alfredo Hernández Deras,Representación proporcional,Durango ,1 ,alfredo.hernandez@diputados.gob.mx ,Pri,Licenciatura,27 ,3,1 ,0,0,0,0,0,3,28
Dip. César Agustín Hernández Pérez,Mayoría Relativa,México ,30 ,cesar.hernandez@diputados.gob.mx ,Morena,Maestría,8 ,1,15 ,10,7 ,0,1 ,0,11,31
Dip. María Eugenia Hernández Pérez,Mayoría Relativa,México ,11 ,eugenia.hernandez@diputados.gob.mx ,Morena,Licenciatura,44 ,2,15 ,10,4 ,1,4 ,0,13,67
Dip. Arturo Roberto Hernández Tapia,Mayoría Relativa,México ,35 ,arturo.hernandez@diputados.gob.mx ,Morena,Maestría,8 ,3,15 ,10,3 ,1,0,0,14,26
Dip. Rafael Hernández Villalpando,Mayoría Relativa,Veracruz ,10 ,rafael.hernandezv@diputados.gob.mx ,Morena,Maestría,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Ana Lilia Herrera Anzaldo,Representación proporcional,México ,5 ,ana.herrera@diputados.gob.mx ,Pri,Maestría,33 ,3,1 ,0,12 ,5,0,0,8,46
Dip. Samuel Herrera Chávez,Mayoría Relativa,Zacatecas ,4 ,samuel.herrera@diputados.gob.mx ,Morena,Maestría,21 ,3,15 ,10,2 ,0,0,0,13,38
Dip. Gonzalo Herrera Pérez,Mayoría Relativa,Michoacán ,7 ,gonzalo.herrera@diputados.gob.mx ,Morena,,6 ,0,15 ,10,0,0,1 ,0,10,22
Dip. Geraldina Isabel Herrera Vega,Mayoría Relativa,Jalisco ,10 ,geraldina.herrera@diputados.gob.mx ,ano,Maestría,30 ,3,27 ,1,5 ,0,2 ,0,4,64
Dip. Javier Ariel Hidalgo Ponce,Mayoría Relativa,Ciudad de México ,10 ,javier.hidalgo@diputados.gob.mx ,Morena,Licenciatura,12 ,1,15 ,10,8 ,2,0,0,13,35
Dip. Francisco Javier Huacus Esquivel,Mayoría Relativa,Michoacán ,12 ,francisco.huacus@diputados.gob.mx ,_PT,Licenciatura,7 ,0,6 ,0,2 ,0,0,0,0,15
Dip. Benjamín Saúl Huerta Corona,Mayoría Relativa,Puebla ,11 ,benjamin.huerta@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,2 ,1,0,0,11,19
Dip. Agustín Reynaldo Huerta González,Representación proporcional,Puebla ,4 ,agustin.huerta@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,0,0,3 ,0,10,21
Dip. Martha Huerta Hernández,Mayoría Relativa,Puebla ,5 , ,_PT,Maestría,0,0,1 ,0,0,0,0,0,0,1
Dip. Manuel Huerta Martínez,Representación proporcional,Guerrero ,4 ,mhuerta.martinez@diputados.gob.mx ,Morena,Licenciatura,6 ,1,15 ,10,2 ,0,1 ,0,11,24
Dip. María de los Ángeles Huerta del Río,Mayoría Relativa,México ,24 ,angeles.huerta@diputados.gob.mx ,Morena,Doctorante,1 ,0,15 ,10,2 ,0,0,0,10,18
Dip. Anilú Ingram Vallines,Representación proporcional,Veracruz ,3 ,anilu.ingram@diputados.gob.mx ,Pri,Maestría,23 ,1,1 ,0,10 ,2,0,0,3,34
Dip. Limbert Iván de Jesús Interian Gallegos,Mayoría Relativa,Yucatán ,3 ,limbert.interian@diputados.gob.mx ,Morena,Candidato a Diputado Federal por el V Distrito electoral de Yucatán,7 ,1,10 ,6,0,0,1 ,0,7,18
Dip. Miguel Pavel Jarero Velázquez,Mayoría Relativa,Nayarit ,1 ,miguel.jarero@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,0,0,1 ,0,10,18
Dip. Lorena del Socorro Jiménez Andrade,Mayoría Relativa,Jalisco ,5 ,lorena.jimenez@diputados.gob.mx ,Morena,Maestría,6 ,0,15 ,10,3 ,0,0,0,10,24
Dip. María Roselia Jiménez Pérez,Mayoría Relativa,Chiapas ,8 ,roselia.jimenez@diputados.gob.mx ,_PT,Licenciatura,0,0,6 ,0,2 ,0,0,0,0,8
Dip. Héctor Guillermo de Jesús Jiménez y Meneses,Mayoría Relativa,Puebla ,13 ,hector.jimenez@diputados.gob.mx ,Morena,Licenciatura,1 ,0,15 ,10,2 ,0,1 ,0,10,19
Dip. Irma Juan Carlos,Mayoría Relativa,Oaxaca ,2 ,irma.juan@diputados.gob.mx ,Morena,Maestría,27 ,2,15 ,10,6 ,1,0,0,13,48
Dip. Rene Juárez Cisneros,Representación proporcional,Guerrero ,4 ,rene.juarez@diputados.gob.mx ,Pri,Licenciatura,13 ,1,1 ,0,10 ,5,2 ,1,7,26
Dip. Verónica Beatriz Juárez Piña,Representación proporcional,Jalisco ,1 ,veronica.juarez@diputados.gob.mx ,d01,Licenciatura,8 ,2,42 ,1,34 ,3,7 ,1,7,91
Dip. Miguel Ángel Jáuregui Montes de Oca,Mayoría Relativa,Ciudad de México ,3 ,miguel.jauregui@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,16 ,1,0,0,11,33
Dip. Kehila Abigail Ku Escalante,Mayoría Relativa,Jalisco ,11 ,kehila.ku@diputados.gob.mx ,ano,Maestría,21 ,3,27 ,1,0,0,3 ,0,4,51
Dip. Carlos Javier Lamarque Cano,Mayoría Relativa,Sonora ,6 ,carlos.lamarque@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,1 ,1,1 ,0,11,19
Dip. Claudia Elena Lastra Muñoz,Mayoría Relativa,Chihuahua ,3 ,claudia.lastra@diputados.gob.mx ,_PT,,12 ,1,6 ,0,0,0,0,0,1,18
Dip. Manuel Limón Hernández,Representación proporcional,Veracruz ,3 ,manuel.limon@diputados.gob.mx ,Pri,Bachillerato ,59 ,4,1 ,0,0,0,0,0,4,60
Dip. José Elías Lixa Abimerhi,Mayoría Relativa,Yucatán ,4 ,elias.lixa@diputados.gob.mx ,pan,Doctorado,102 ,7,28 ,2,3 ,0,1 ,0,9,134
Dip. Fabiola Raquel Guadalupe Loya Hernández,Mayoría Relativa,Jalisco ,6 ,fabiola.loya@diputados.gob.mx ,ano,Licenciatura,21 ,3,27 ,1,22 ,0,7 ,0,4,77
Dip. Pilar Lozano Mac Donald,Representación proporcional,Nuevo León ,2 ,pilar.lozano@diputados.gob.mx ,ano,Maestría,14 ,1,27 ,1,5 ,0,2 ,0,2,48
Dip. Adriana Lozano Rodríguez,Mayoría Relativa,Tamaulipas ,4 ,adriana.lozano@diputados.gob.mx ,Encuentro,Licenciatura,14 ,3,6 ,1,1 ,0,1 ,1,5,22
Dip. Francisco Javier Luévano Núñez,Mayoría Relativa,Aguascalientes ,1 ,francisco.luevano@diputados.gob.mx ,pan,Carrera Trunca,81 ,4,26 ,2,5 ,0,2 ,0,6,114
Dip. Delfino López Aparicio,Mayoría Relativa,México ,25 ,delfino.lopez@diputados.gob.mx ,Morena,Maestría,5 ,0,15 ,10,0,0,1 ,0,10,21
Dip. Ana Paola López Birlain,Mayoría Relativa,Querétaro ,5 ,ana.lopez@diputados.gob.mx ,pan,Maestría,89 ,4,26 ,2,5 ,0,2 ,0,6,122
Dip. Manuel López Castillo,Representación proporcional,Sonora ,1 ,manuel.lopez@diputados.gob.mx ,Morena,Licenciatura,5 ,1,15 ,10,2 ,0,1 ,0,11,23
Dip. Cynthia Iliana López Castro,Representación proporcional,Ciudad de México ,4 ,cynthia.lopez@diputados.gob.mx ,Pri,Doctorado,16 ,1,1 ,0,6 ,0,4 ,0,1,27
Dip. Maria Beatriz López Chávez,Representación proporcional,Ciudad de México ,4 ,beatriz.lopez@diputados.gob.mx ,Morena,Especialidad,14 ,2,15 ,10,3 ,2,1 ,1,15,33
Dip. José Martín López Cisneros,Mayoría Relativa,Nuevo León ,10 ,jose.lopez@diputados.gob.mx ,pan,.,90 ,6,28 ,2,6 ,1,2 ,0,9,126
Dip. María Teresa López Pérez,Representación proporcional,Jalisco ,1 ,teresa.lopez@diputados.gob.mx ,Morena,Maestría,5 ,0,15 ,10,5 ,1,0,0,11,25
Dip. Claudia López Rayón,Mayoría Relativa,Ciudad de México ,5 ,claudia.lopez@diputados.gob.mx ,Morena,Carrera Técnica,9 ,2,15 ,10,1 ,0,0,0,12,25
Dip. Abelina López Rodríguez,Mayoría Relativa,Guerrero ,4 ,abelina.lopez@diputados.gob.mx ,Morena,Maestría,11 ,0,15 ,10,3 ,0,1 ,0,10,30
Dip. Nelly Maceda Carrera,Mayoría Relativa,Puebla ,14 ,nelly.maceda@diputados.gob.mx ,_PT,Carrera Técnica,0,0,16 ,10,0,0,0,0,10,16
Dip. Felipe Fernando Macías Olvera,Mayoría Relativa,Querétaro ,4 ,felipe.macias@diputados.gob.mx ,pan,Maestría,93 ,6,28 ,2,7 ,4,3 ,0,12,131
Dip. Julieta Macías Rábago,Representación proporcional,Ciudad de México ,4 ,julieta.macias@diputados.gob.mx ,ano,Licenciatura,40 ,4,27 ,1,22 ,2,3 ,0,7,92
Dip. Mirna Zabeida Maldonado Tapia,Mayoría Relativa,Zacatecas ,1 ,mirna.maldonado@diputados.gob.mx ,Morena,Doctorado,7 ,1,15 ,10,0,0,1 ,0,11,23
Dip. Emilio Manzanilla Téllez,Mayoría Relativa,México ,16 ,emilio.manzanilla@diputados.gob.mx ,_PT,Licenciatura,7 ,0,6 ,0,2 ,0,0,0,0,15
Dip. Javier Manzano Salazar,Mayoría Relativa,Guerrero ,5 ,javier.manzano@diputados.gob.mx ,Morena,Profesor,0,0,15 ,10,0,0,0,0,10,15
Dip. José Rigoberto Mares Aguilar,Representación proporcional,Baja California Sur ,1 ,jose.mares@diputados.gob.mx ,pan,Licenciatura,90 ,6,27 ,2,3 ,0,2 ,0,8,122
Dip. Emeteria Claudia Martínez Aguilar,Representación proporcional,Chiapas ,3 ,emteria.martinez@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,3 ,1,1 ,0,11,23
Dip. Carlos Enrique Martínez Aké,Mayoría Relativa,Campeche ,1 ,cenrique.martinez@diputados.gob.mx ,Morena,Pasante,3 ,0,15 ,10,0,0,0,0,10,18
Dip. Juan Martínez Flores,Mayoría Relativa,Veracruz ,16 ,jmartinez.flores@diputados.gob.mx ,Morena,Licenciatura,7 ,0,15 ,10,3 ,0,0,0,10,25
Dip. Laura Martínez González,Representación proporcional,Ciudad de México ,4 ,laura.martinez@diputados.gob.mx ,Morena,Bachillerato | Nivel Medio Superior,21 ,2,15 ,10,6 ,0,4 ,0,12,46
Dip. Jacquelina Martínez Juárez,Representación proporcional,Zacatecas ,2 ,jacquelina.martinez@diputados.gob.mx ,pan,Maestría,99 ,9,25 ,2,2 ,0,6 ,0,11,132
Dip. Maribel Martínez Ruiz,Representación proporcional,Oaxaca ,3 ,mmartinez.ruiz@diputados.gob.mx ,_PT,Maestría,18 ,1,6 ,0,27 ,2,4 ,0,3,55
Dip. Oscar Daniel Martínez Terrazas,Representación proporcional,Morelos ,4 ,oscar.martinez@diputados.gob.mx ,pan,Licenciatura,93 ,6,28 ,2,3 ,0,2 ,0,8,126
Dip. Luis Enrique Martínez Ventura,Mayoría Relativa,México ,32 ,luisenrique.martinez@diputados.gob.mx ,_PT,,3 ,0,16 ,10,0,0,0,0,10,19
Dip. María Teresa Marú Mejía,Mayoría Relativa,México ,3 ,maria.maru@diputados.gob.mx ,_PT,Pasante,3 ,1,6 ,0,4 ,1,0,0,2,13
Dip. Mario Mata Carrasco,Mayoría Relativa,Chihuahua ,5 ,mmata.carrasco@diputados.gob.mx ,pan,Licenciatura,89 ,6,27 ,2,7 ,1,3 ,0,9,126
Dip. Lizbeth Mata Lozano,Representación proporcional,Baja California ,1 ,lizbeth.mata@diputados.gob.mx ,pan,Maestría,89 ,6,28 ,2,5 ,0,2 ,0,8,124
Dip. Hirepan Maya Martínez,Representación proporcional,Michoacán ,5 ,hirepan.maya@diputados.gob.mx ,Morena,Secundaria,6 ,0,15 ,10,0,0,0,0,10,21
Dip. Sergio Mayer Bretón,Mayoría Relativa,Ciudad de México ,6 ,sergio.mayer@diputados.gob.mx ,Morena,Licenciatura,8 ,0,15 ,10,5 ,0,0,0,10,28
Dip. Carmen Medel Palma,Mayoría Relativa,Veracruz ,14 ,carmen.medel@diputados.gob.mx ,Morena,Maestría,7 ,1,15 ,10,4 ,0,1 ,0,11,27
Dip. Benito Medina Herrera,Representación proporcional,Baja California ,1 ,benito.medina@diputados.gob.mx ,Pri,Maestría,49 ,5,1 ,0,0,0,1 ,0,5,51
Dip. Adriana Gabriela Medina Ortíz,Mayoría Relativa,Jalisco ,12 ,gabriela.medina@diputados.gob.mx ,ano,Licenciatura,14 ,2,27 ,1,26 ,1,3 ,0,4,70
Dip. Marco Antonio Medina Pérez,Representación proporcional,Veracruz ,3 ,marco.medina@diputados.gob.mx ,Morena,Pasante,2 ,0,15 ,10,4 ,0,0,0,10,21
Dip. Maria Esther Mejía Cruz,Mayoría Relativa,Chihuahua ,1 ,maria.mejia@diputados.gob.mx ,Morena,,3 ,0,15 ,10,2 ,0,0,0,10,20
Dip. Luis Alberto Mendoza Acevedo,Mayoría Relativa,Ciudad de México ,15 ,luisalberto.mendoza@diputados.gob.mx ,pan,Licenciatura,80 ,7,26 ,2,6 ,0,2 ,0,9,114
Dip. Edith Marisol Mercado Torres,Representación proporcional,México ,5 ,edith.mercado@diputados.gob.mx ,Morena,Otro,11 ,2,15 ,10,0,0,0,0,12,26
Dip. Virginia Merino García,Representación proporcional,Oaxaca ,3 ,virginia.merino@diputados.gob.mx ,Morena,Bachillerato | Nivel Medio Superior,3 ,1,8 ,5,1 ,1,1 ,0,7,13
Dip. María del Rosario Merlín García,Mayoría Relativa,Guerrero ,9 ,maria.merlin@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,0,0,0,0,10,19
Dip. Moisés Ignacio Mier Velazco,Representación proporcional,Puebla ,4 ,moises.mier@diputados.gob.mx ,Morena,,1 ,0,15 ,10,1 ,0,0,0,10,17
Dip. Jesús Salvador Minor Mora,Mayoría Relativa,Baja California ,1 ,jesus.minor@diputados.gob.mx ,Morena,Licenciatura,1 ,0,15 ,10,0,0,0,0,10,16
